,values,labels
0,88.03470418130644,ATG5
1,304.68491118316564,ATG5
2,209.76065765027113,ATG5
0,17.22410188936333,Autophagy
1,9.523248929735587,Autophagy
2,21.073274281691617,Autophagy
3,127.69186621951236,Autophagy
4,146.16295258479457,Autophagy
5,81.85365839234262,Autophagy
6,64.27509009281421,Autophagy
7,76.57135043380379,Autophagy
8,211.99958016717474,Autophagy
9,123.10789671058707,Autophagy
10,58.126258524816535,Autophagy
11,18.172344468505443,Autophagy
12,103.32677878271016,Autophagy
13,19.40139192048166,Autophagy
14,96.66368786061867,Autophagy
15,158.61985054185422,Autophagy
16,23.152817008090555,Autophagy
17,155.27041176721477,Autophagy
18,165.48064573639206,Autophagy
19,98.2946626059801,Autophagy
20,12.197069034620384,Autophagy
21,76.90233559459544,Autophagy
22,130.18986910102058,Autophagy
23,9.874686440414663,Autophagy
24,11.000555691684056,Autophagy
25,33.3999836662229,Autophagy
26,69.55791423178344,Autophagy
27,49.73704755933358,Autophagy
28,16.459912734521282,Autophagy
29,22.225053545725377,Autophagy
30,41.44658646430776,Autophagy
31,17.041048004351047,Autophagy
32,38.61471531390424,Autophagy
33,50.83245691065654,Autophagy
34,16.19240523615754,Autophagy
35,113.73261279931675,Autophagy
36,65.77285063152299,Autophagy
37,67.32539558361397,Autophagy
38,87.77228587662644,Autophagy
39,361.190555388724,Autophagy
40,61.58039837505821,Autophagy
41,46.02810335564099,Autophagy
42,738.380190979799,Autophagy
43,22.078887269791576,Autophagy
44,20.33731304311246,Autophagy
45,27.60194275472828,Autophagy
46,25.098866887982695,Autophagy
47,31.484714958676378,Autophagy
48,25.050545562677243,Autophagy
49,95.44806246121398,Autophagy
50,29.07372327265161,Autophagy
51,37.62674355248608,Autophagy
52,152.1714046939372,Autophagy
53,106.32654535490114,Autophagy
54,80.04770093065859,Autophagy
55,246.83918342420498,Autophagy
56,34.74368765153716,Autophagy
57,240.76494227660663,Autophagy
58,147.51846273939947,Autophagy
59,147.8875979397961,Autophagy
60,85.41656254165046,Autophagy
61,46.74198653990791,Autophagy
62,50.742101945875106,Autophagy
63,71.65233457812137,Autophagy
64,166.6529818810604,Autophagy
65,101.80678312440246,Autophagy
0,7.651051728763631,Non-Targeting Control
1,4.697856029010877,Non-Targeting Control
2,5.009440198010534,Non-Targeting Control
3,7.709007944106693,Non-Targeting Control
4,13.708898795196042,Non-Targeting Control
5,7.273480795728066,Non-Targeting Control
6,8.237145128822156,Non-Targeting Control
7,7.704175102988139,Non-Targeting Control
8,6.880712862229725,Non-Targeting Control
9,9.849062421860971,Non-Targeting Control
10,7.86518393484071,Non-Targeting Control
11,9.836639866666088,Non-Targeting Control
12,9.882084517490544,Non-Targeting Control
13,8.765616995144951,Non-Targeting Control
14,9.6402598429338,Non-Targeting Control
15,8.473907442067171,Non-Targeting Control
16,8.2957022749118,Non-Targeting Control
17,9.635038048176458,Non-Targeting Control
18,9.081053788276547,Non-Targeting Control
19,10.837395588782453,Non-Targeting Control
20,11.65924856408895,Non-Targeting Control
21,10.050401787507061,Non-Targeting Control
22,10.931008774333248,Non-Targeting Control
23,18.97627205250341,Non-Targeting Control
24,16.914462467391363,Non-Targeting Control
25,11.96815703753235,Non-Targeting Control
26,23.08607769324983,Non-Targeting Control
27,11.318663076442169,Non-Targeting Control
28,12.02585592240366,Non-Targeting Control
29,18.62349845053584,Non-Targeting Control
30,21.795858651402057,Non-Targeting Control
31,14.516760287114009,Non-Targeting Control
32,32.41986063101319,Non-Targeting Control
33,37.38939884512684,Non-Targeting Control
34,29.020910508670266,Non-Targeting Control
35,33.07683561682739,Non-Targeting Control
