gene	color	max_enrichment_bins
A2ML1	#f5fafe	1.0931708636035344
A3GALT2	#e5eff9	1.7400885289569876
AAAS	#e2edf8	1.874154170008108
AADAC	#e2edf8	1.851379814045139
AAGAB	#d0e2f2	2.579327907538487
AANAT	#eaf3fb	1.5072599002936446
AAR2	#f1f7fd	1.2577399659597268
AARSD1	#cde0f1	2.688489431564061
AASDHPPT	#e9f2fa	1.5891408863726335
AASS	#dae8f6	2.1562535645232765
AATK	#eef5fc	1.4022846207363366
ABCA12	#dceaf6	2.083726181879668
ABCA2	#f0f6fd	1.300065503712311
ABCB4	#deebf7	2.014944889977016
ABCB8	#f2f8fd	1.2097471856821254
ABCB9	#dceaf6	2.072308300925493
ABCC11	#e2edf8	1.8620797698764984
ABCC8	#f7fbff	1.030942715743408
ABCD1	#f5f9fe	1.1171135790655529
ABCD2	#f1f7fd	1.2581930427212105
ABCD4	#eaf3fb	1.5055636063964921
ABCG2	#f2f7fd	1.2352242156540358
ABHD12	#eef5fc	1.3589269735511238
ABHD14A	#f4f9fe	1.1533330197566385
ABHD15	#d6e5f4	2.3487465239572813
ABHD17A	#d6e5f4	2.347331120930952
ABHD2	#e7f0fa	1.66414274507383
ABHD3	#eef5fc	1.3950069723150178
ABHD8	#f1f7fd	1.2808579372332252
ABI2	#dceaf6	2.0687177922459563
ABLIM2	#bfd8ed	3.1868160477740823
ABO	#f1f7fd	1.2529977452379972
ABRACL	#d9e8f5	2.1947129560848326
ABTB1	#bdd7ec	3.2297488095542977
ACAA1	#d9e7f5	2.242188502208917
ACACA	#e5eff9	1.7231498405883536
ACADL	#cee0f2	2.670663452900959
ACADS	#f1f7fd	1.2646819708531867
ACAP2	#f2f8fd	1.1991469900383243
ACAT1	#dce9f6	2.101375630426182
ACBD7	#f6faff	1.0486798208136674
ACCSL	#d0e2f2	2.581506499916351
ACE	#edf4fc	1.4215494603221717
ACE2	#e6f0f9	1.714815921802594
ACER3	#edf4fc	1.418713873804505
ACHE	#e3eef8	1.828719200114821
ACKR2	#f2f7fd	1.226736078446264
ACOT13	#f5fafe	1.083038716874319
ACOT9	#f1f7fd	1.2771768881697636
ACOX2	#e2edf8	1.8716114273759668
ACOX3	#deebf7	2.0086592795196605
ACR	#f5f9fe	1.0968149049371607
ACRV1	#d0e1f2	2.5979469017422905
ACSBG1	#e3eef9	1.7929070412776267
ACSF2	#dfecf7	1.9532674716107081
ACSM6	#e5eff9	1.7460793868968136
ACTA2	#f5fafe	1.0865793592990731
ACTB	#e5eff9	1.7354907937049493
ACTG1	#edf4fc	1.4199685512912332
ACTL8	#e3eef8	1.8142672383964928
ACTL9	#87bddc	4.438017868028075
ACTN2	#d9e8f5	2.217919664308569
ACTR1B	#d4e4f4	2.4217371814637416
ACTR2	#f5f9fe	1.1044940474268692
ACTR3C	#f7fbff	1.014793510442957
