,class_label,prob_unstim,UMAP_1,UMAP_2
0,bin1,0.99999994,3.9706922,0.76539934
1,bin1,0.9999997,3.508532,0.9812515
2,bin1,0.9999973,4.066007,-1.0156469
3,bin1,0.99999946,3.7786777,0.07948753
4,bin1,0.9999997,3.26478,0.06648466
5,bin1,0.99999905,3.9460375,0.08545151
6,bin1,0.9999973,3.1530335,0.56051195
7,bin1,0.9999987,2.6861062,-0.3064899
8,bin1,0.99999654,3.788287,0.08167812
9,bin1,0.99999946,3.3614197,-0.090965
10,bin1,0.99999875,3.4376423,0.71231425
11,bin1,0.99999905,2.8078306,-1.349782
12,bin1,0.9999942,2.8678849,0.68197286
13,bin1,0.9999992,3.0073948,0.66841733
14,bin1,0.999994,-0.056100097,1.634835
15,bin1,0.99999994,4.182502,-0.03715369
16,bin1,0.99999785,4.388995,-0.5969496
17,bin1,0.99999607,3.035815,-1.1505145
18,bin1,0.99999917,3.8341079,-0.20232502
19,bin1,0.99999785,3.1172369,-0.15183684
20,bin1,0.9999982,3.9937308,-0.013740629
21,bin1,0.99999815,2.308487,0.5908941
22,bin1,0.9999951,3.1472857,0.34904543
23,bin1,0.9999995,4.2855473,0.16980687
24,bin1,0.9999986,3.7815955,-0.43624386
25,bin1,0.99999297,3.67554,-1.6117182
26,bin1,0.99999905,2.949235,-0.7654345
27,bin1,0.9999953,3.5347548,-0.40776113
28,bin1,0.99999785,3.3579915,-0.09232989
29,bin1,0.99999833,3.796407,0.15726706
30,bin1,0.9999943,3.3369794,-0.9168166
31,bin1,0.99999315,2.7911339,-0.093912825
32,bin1,0.9999975,4.2530103,-0.5788388
33,bin1,0.99999523,2.5219364,-1.0586085
34,bin1,0.9999997,4.1012015,-0.6661558
35,bin1,0.99999344,2.455172,0.7913085
36,bin1,0.99999523,3.6999125,-1.3577633
37,bin1,0.9999977,2.4745858,0.120058626
38,bin1,0.9999955,4.051053,-1.2768006
39,bin1,0.9999966,-2.9481976,-2.8640537
40,bin1,0.9999986,4.00792,-1.0806613
41,bin1,0.9999995,3.8475218,0.5606655
42,bin1,0.99999964,4.127352,-0.05099222
43,bin1,0.9999971,3.6919022,-1.3428887
44,bin1,0.99999815,0.65832657,0.73335004
45,bin1,1.0,2.7003658,0.9667655
46,bin1,0.99999076,2.5238752,-0.75252557
47,bin1,0.999999,3.258465,-0.45371035
48,bin1,0.99999815,3.7747664,-1.3471271
49,bin1,0.9999947,-3.1141965,-2.6092026
50,bin1,0.99999166,4.061828,-0.379679
51,bin1,0.99999917,3.909625,0.16250739
52,bin1,0.99999166,2.5527034,-0.9287009
53,bin1,0.99999833,4.347532,-0.77737224
54,bin1,0.999999,4.349302,-0.7752892
55,bin1,0.99999046,4.048796,-1.1203674
56,bin1,0.99999815,3.3208423,0.8021445
57,bin1,0.99999946,3.6961253,-0.8660625
58,bin1,0.9999955,3.7288952,0.47900394
59,bin1,0.99999774,2.6702967,0.49048677
